attention,meditation,delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,highgamma,state
35,48,86491,28466,8537,7036,12185,11036,11002,6011,0
29,43,244644,7181,3923,2496,5249,2211,2129,708,0
44,50,694609,274759,105918,51641,68814,80782,11027,3078,0
44,66,3608891,97132,30005,24297,15210,4780,2297,1478,0
27,75,487585,182497,145871,2908,9471,12567,5025,4173,0
24,63,42052,129648,15343,5970,20798,16972,10949,3107,0
20,61,301570,30253,3617,8127,1779,4091,2328,648,0
37,74,7603,12708,33890,3163,2642,10496,10823,3340,0
48,67,250959,19267,8312,3672,3935,4616,2035,511,0
64,56,1272946,21528,6979,6033,7915,3614,3386,1090,1
96,60,94251,12769,4280,5900,5644,5281,2133,735,1
84,53,466379,83551,9040,19534,19126,33322,22847,8600,1
66,48,114029,20745,1427,3116,4477,5172,4448,2393,1
64,43,506981,127766,10307,20658,12693,23613,15571,6852,1
50,40,334436,49898,8970,7868,1978,3262,2056,1022,1
53,53,33224,3130,4507,2658,1934,4821,833,674,1
63,61,14043,6030,5682,4493,11308,12047,5626,7855,1
78,69,3080,8198,6792,5482,5720,15020,8086,3941,1
94,88,14583,1974,3647,28031,2669,10707,7828,6037,1
41,53,31798,49164,17017,33189,10606,15072,10347,2226,1
50,63,58519,8693,7405,2520,2559,5782,2699,1087,1
54,61,1738,9697,5516,5158,838,15728,15596,3189,1
69,67,1644366,560080,93402,111693,45703,32290,11817,4659,1
50,66,546991,56206,19204,7969,5375,2400,2455,1398,1
27,57,1019563,82266,12067,5248,4035,6805,3926,909,1
17,63,19532,37736,26614,23251,11762,11156,11515,3784,1
17,63,19532,37736,26614,23251,11762,11156,11515,3784,1
48,54,11738,9151,3479,3065,8541,7612,5613,1493,1
